id,name,category,stats,effects
DA_SunfireCape,Sunfire Cape,Completed,"{""armor"": 20, ""hp"": 150}","Every 2 seconds, deal 1% Burn and 33% Wound to an enemy within 2 hexes for 10 seconds. Burn: Deals a percent of the target's maximum Health as true damage every second. Wound: Reduces healing received"
DA_ThiefsGloves,Thief's Gloves,Completed,"{""crit_percent"": 20, ""hp"": 150}","Each round: Equip 2 random items. [Consumes 3 item slots.]"
DA_TitansResolve,Titan's Resolve,Completed,"{""as_percent"": 10, ""armor"": 20}","Gain 2% Attack Damage and 2 Ability Power when attacking or taking damage, stacking up to 25 times. At full stacks, gain 15 Armor and 15 Magic Resist, and gain immunity to crowd control."
DA_VoidStaff,Void Staff,Completed,"{""ap"": 15, ""mana"": 15, ""as_percent"": 15}","Attacks and Magic damage 30% Shred the target for 3 seconds. This effect does not stack. Shred: Reduce Magic Resist"
DA_WarmogsArmor,Warmog's Armor,Completed,"{""hp"": 800}","Gain 12% max health."
DA_TacticiansCrown,Tactician's Crown,Completed,"{}","Your team gains +1 maximum team size. 10% chance to drop 1 gold when the holder dies."
DA_TacticiansCape,Tactician's Cape,Completed,"{}","Your team gains +1 maximum team size. 10% chance to drop 1 gold after 10 seconds of combat."
DA_TacticiansShield,Tactician's Shield,Completed,"{}","Your team gains +1 maximum team size. 10% chance to drop 1 gold when you win combat."
DA_Artifact_AegisOfDawn,Aegis of Dawn,Artifact,"{""hp"": 250, ""armor"": 40}","Combat start: Grant 25 Armor and Magic Resist to adjacent allies for 15 seconds."
DA_Artifact_AegisOfDusk,Aegis of Dusk,Artifact,"{""hp"": 250, ""mr"": 40}","Combat start: Grant 25 Magic Resist and a 200 Health Shield to adjacent allies for 15 seconds."
DA_Artifact_BlightingJewel,Blighting Jewel,Artifact,"{""ap"": 40}","Dealing magic damage reduces the target's Magic Resist by 3. If their Magic Resist is 0, this grants the holder 5 Ability Power instead."
DA_Artifact_Dawncore,Dawncore,Artifact,"{""ap"": 30, ""mana"": 15}","Gain 2% Ability Power and 2% Attack Damage for every 30 Mana spent by the holder."
DA_Artifact_DeathsDefiance,Death's Defiance,Artifact,"{""ad"": 25, ""as_percent"": 25, ""armor"": 30, ""omnivamp_percent"": 25}","50% of the damage the holder receives is instead dealt over 4 seconds as non-lethal damage."
DA_Artifact_EternalPact,Eternal Pact,Artifact,"{""hp"": 300, ""ap"": 20, ""ad"": 20}","When a non-summoned allied unit dies, transfer 10% of their base stats to the holder for the rest of combat."
DA_Artifact_Fishbones,Fishbones,Artifact,"{""ad"": 40, ""as_percent"": 40}","Doubles the holder's Attack Range and causes each of their attacks to target a random enemy."
DA_Artifact_ForbiddenIdol,Forbidden Idol,Artifact,"{""hp"": 300, ""armor"": 25, ""mr"": 25}","Shields instead convert 50% of their value into maximum Health for the rest of combat."
DA_Artifact_GamblersBlade,Gambler's Blade,Artifact,"{""as_percent"": 35, ""ap"": 10}","Gain 1% Attack Speed per gold in your bank (up to 30 gold). Each attack has a 6% chance to drop 1 gold."
DA_Artifact_GoldCollector,The Collector,Artifact,"{""ad"": 30, ""crit_percent"": 30}","Attacks and Abilities execute enemies below 12% of their maximum Health. Executions have a 40% chance to drop 1 gold."
DA_Artifact_HellfireHatchet,Hellfire Hatchet,Artifact,"{""ad"": 40, ""as_percent"": 20}","Attacks deal bonus magic damage based on target max Health and heal the holder for 30% of post-mitigation damage dealt."
DA_Artifact_HorizonFocus,Horizon Focus,Artifact,"{""hp"": 250, ""ap"": 25, ""mana"": 15}","Stunning an enemy causes them to be struck by lightning, dealing magic damage equal to 20% of their maximum Health."
DA_Artifact_Hullcrusher,Hullcrusher,Artifact,"{""hp"": 550, ""armor"": 30, ""mr"": 30}","Combat start: If the holder has no adjacent allies, gain an additional 600 Health, 40 Armor, and 40 Magic Resist."
DA_Artifact_InfinityForce,Infinity Force,Artifact,"{""ad"": 25, ""ap"": 25, ""hp"": 250, ""armor"": 25, ""mr"": 25, ""as_percent"": 25, ""mana"": 25, ""crit_percent"": 25}","Tons of stats!"
DA_Item_Artifact_TalismanOfAscension,Talisman of Ascension,Artifact,"{""hp"": 300, ""ad"": 20, ""ap"": 20}","After 18 seconds of combat, gain 100% maximum Health and 120% Damage Amp for the rest of combat."
DA_Artifact_LichBane,Lich Bane,Artifact,"{""ap"": 30, ""mana"": 15}","After each Ability cast, the holder's next attack deals 180 bonus magic damage, increased based on stage."
DA_Artifact_LightshieldCrest,Lightshield Crest,Artifact,"{""armor"": 40, ""mr"": 40}","Every 3 seconds, grant a shield to the lowest percent Health ally equal to 50% of the holder's combined Armor and Magic Resist."
DA_Artifact_LudensTempest,Luden's Tempest,Artifact,"{""ap"": 40, ""mana"": 15}","100% of overkill damage plus 100 magic damage is dealt to the 3 enemies nearest the target."
DA_Artifact_Manazane,Manazane,Artifact,"{""mana"": 15, ""ad"": 15, ""ap"": 15, ""as_percent"": 15}","After casting an Ability for the first time in combat, restore 120 Mana over 5 seconds."
DA_Artifact_Mittens,Mittens,Artifact,"{""as_percent"": 60}","Shrinks the holder, granting them 20% Movement Speed, 20% damage reduction, and immunity to chill."
DA_Artifact_MogulsMail,Mogul's Mail,Artifact,"{""hp"": 450}","Taking damage grants 1 Armor, 1 Magic Resist, and 6 Health (stacks up to 40 times). At full stacks, grant 2 gold each round."
DA_Artifact_NavoriFlickerblade,Navori Flickerblade,Artifact,"{""as_percent"": 35, ""crit_percent"": 20}","Attacks reduce the holder's remaining ability cast lock/cooldown and grant 2 bonus Mana."
DA_Artifact_RapidFireCannon,Rapid Firecannon,Artifact,"{""as_percent"": 50}","Gain +1 Attack Range. Whenever the holder attacks, gain 5% stacking Attack Speed for the rest of combat."
DA_Artifact_SeekersArmguard,Seeker's Armguard,Artifact,"{""ap"": 25, ""armor"": 25, ""mr"": 25}","Takedowns grant the holder 10 Armor, 10 Magic Resist, and 10 Ability Power, increased to 15 on scoring the kill."
DA_Artifact_SilvermereDawn,Silvermere Dawn,Artifact,"{""ad"": 165, ""armor"": 50, ""mr"": 50}","Grants immunity to stuns. The holder's attacks stun the target for 0.8 seconds and holder's attack speed is locked at 0.5."
DA_Artifact_StatikkShiv,Statikk Shiv (Artifact),Artifact,"{""as_percent"": 30, ""mana"": 15, ""ap"": 15}","Every 3rd attack unleashes chain lightning that deals magic damage to 4 enemies and reduces their Magic Resist by 30% for 5 seconds."
DA_Artifact_TheIndomitable,The Indomitable,Artifact,"{""hp"": 450, ""armor"": 35, ""mr"": 35}","Gain 15% flat damage reduction. When crowd controlled, instantly break free and recover 10% maximum Health."
DA_Artifact_TitanicHydra,Titanic Hydra,Artifact,"{""hp"": 500, ""as_percent"": 20}","Attacks deal bonus physical damage equal to 3% of the holder's maximum Health to the target and adjacent enemies in a cone."
DA_Artifact_VoidGauntlet,Void Gauntlet,Artifact,"{""ap"": 30, ""ad"": 30, ""hp"": 200}","Attacks and abilities apply Void corruption, shredding resists by 20% and dealing 10% bonus true damage over 3 seconds."
DA_Artifact_WitsEnd,Wit's End,Artifact,"{""as_percent"": 45, ""mr"": 45}","Attacks deal 42-100 bonus magic damage and heal the holder for 50% of post-mitigation magic damage dealt."
DA_Artifact_ZhonyasParadox,Zhonya's Paradox,Artifact,"{""ap"": 45, ""armor"": 30, ""mr"": 30}","Once per combat at 40% Health, become invulnerable and untargetable for 3 seconds."
DA_AdaptiveHelm_Radiant,Radiant Adaptive Helm,Radiant,"{""ap"": 15, ""armor"": 20, ""mr"": 20, ""mana"": 15}","Gain an additional 30% Mana from all sources. The wearer gains an additional bonus based on their Role: Tank/Fighter: Gain 80 Armor and Magic Resistance. Marksman/Caster: Gain 40% Attack Damage and Ability Power."
DA_ArchangelsStaffRadiant,Radiant Archangel's Staff,Radiant,"{""ap"": 50, ""mana"": 15}","Combat start: Gain 40% Ability Power every 5 seconds in combat."
DA_BlastPotion18_Radiant,Radiant Blast Potion,Radiant,"{}","Radiant Consumable: Grants permanent Ability Power or combat damage amplification."
DA_BloodthirsterRadiant,Radiant Bloodthirster,Radiant,"{""ad"": 40, ""mr"": 20, ""ap"": 30, ""omnivamp_percent"": 40}","Once per combat: At 40% Health, gain a 50% max Health Shield that lasts up to 5 seconds."
DA_BlueBuffRadiant,Radiant Blue Buff,Radiant,"{""mana"": 20, ""ad"": 20, ""ap"": 20}","Max Mana reduced by 10. Gain 20% additional Attack Damage and Ability Power from all sources."
DA_BrambleVestRadiant,Radiant Bramble Vest,Radiant,"{""armor"": 100}","Gain 12% max health. Take 10% reduced damage from attacks. When struck by any attack, deal 200 magic damage to all adjacent enemies. Cooldown: 2 seconds."
DA_CrownguardRadiant,Radiant Crownguard,Radiant,"{""armor"": 40, ""ap"": 40, ""hp"": 200}","Combat Start: Gain a 50% max Health Shield for 8 seconds. When the Shield expires, gain 50% Ability Power."
DA_DeathbladeRadiant,Radiant Deathblade,Radiant,"{""ad"": 105, ""damage_amp_percent"": 12}","It glows in the presence of enemies. Or friends. Or anything alive, really."
DA_DragonsClawRadiant,Radiant Dragon's Claw,Radiant,"{""mr"": 115}","Gain 28% max health. Every 2 seconds, heal 5% max Health."
DA_EdgeOfNightRadiant,Radiant Edge of Night,Radiant,"{""ad"": 30, ""armor"": 30}","At 60% Health, briefly become untargetable, shed negative effects, and heal all missing health."
DA_EvenshroudRadiant,Radiant Evenshroud,Radiant,"{""mr"": 30, ""hp"": 300}","30% Sunder enemies within 3 hexes. Gain 50 Armor and Magic Resist for the first 20 seconds of combat. Sunder: Reduce Armor."
DA_GargoyleStoneplate_Radiant,Radiant Gargoyle's Stoneplate,Radiant,"{""armor"": 50, ""mr"": 50, ""hp"": 250}","Gain 20 Armor and 20 Magic Resist for each enemy targeting the holder."
DA_GiantSlayer_Radiant,Radiant Giant Slayer,Radiant,"{""ad"": 50, ""ap"": 40, ""as_percent"": 10}","Gain 30% additional Damage Amp against Tanks."
DA_GuinsoosRagebladeRadiant,Radiant Guinsoo's Rageblade,Radiant,"{""as_percent"": 20, ""ap"": 10}","Gain 16% stacking Attack Speed every second."
DA_HandOfJusticeRadiant,Radiant Hand of Justice,Radiant,"{""mana"": 15, ""crit_percent"": 20}","Gain 2 effects: 30% Attack Damage and 30% Ability Power. 24% Omnivamp. While above 50% health, double the Attack Damage and Ability Power. While below 50% Health, double the Omnivamp."
DA_HealthPotion18_Radiant,Radiant Health Potion,Radiant,"{}","Radiant Consumable: Grants maximum Health permanently across rounds."
DA_HextechGunbladeRadiant,Radiant Hextech Gunblade,Radiant,"{""ad"": 45, ""ap"": 45, ""omnivamp_percent"": 35}","Heal the lowest percent Health ally for 40% of damage dealt."
DA_InfinityEdgeRadiant,Radiant Infinity Edge,Radiant,"{""ad"": 65, ""crit_percent"": 75}","Gain Precision. Precision: Ability damage can critically strike. Extra Precision grants 10% Critical Strike Damage."
DA_IonicSparkRadiant,Radiant Ionic Spark,Radiant,"{""ap"": 25, ""mr"": 40, ""hp"": 200}","30% Shred enemies within 2 hexes. When enemies cast an Ability, deal magic damage equal to 300% of the Mana spent. Direct damage item. Shred: Reduce Magic Resist."
DA_JeweledGauntletRadiant,Radiant Jeweled Gauntlet,Radiant,"{""ap"": 65, ""crit_percent"": 75}","Gain Precision. Precision: Ability damage can critically strike. Extra Precision grants 10% Critical Strike Damage."
DA_KrakensFury_Radiant,Radiant Kraken's Fury,Radiant,"{""as_percent"": 30, ""hp"": 200}","Attacks grant 7% stacking Attack Damage, up to 15 attacks. After 15 attacks, gain 30% Attack Speed."
DA_LastWhisperRadiant,Radiant Last Whisper,Radiant,"{""ad"": 45, ""as_percent"": 25, ""crit_percent"": 55}","Attacks and Ability damage 30% Sunders the target for the rest of combat. This effect does not stack. Sunder: Reduce Armor."
DA_ManaPotion18_Radiant,Radiant Mana Potion,Radiant,"{}","Radiant Consumable: Grants permanent starting Mana bonus."
DA_MorellonomiconRadiant,Radiant Morellonomicon,Radiant,"{""ap"": 50, ""hp"": 250, ""as_percent"": 25}","Attacks and Abilities deal 2% Burn and 33% Wound to enemies for 10 seconds. Burn: Deals a percent of the target's max Health as true damage every second. Wound: Reduces healing received."
DA_NashorsToothRadiant,Radiant Nashor's Tooth,Radiant,"{""as_percent"": 20, ""hp"": 300, ""ap"": 30}","Attacks grant 4 bonus Mana, increased to 6 if they critically strike."
DA_ProtectorsVowRadiant,Radiant Protector's Vow,Radiant,"{""armor"": 40, ""mana"": 30}","Combat Start: Gain 40 Mana. At 40% Health, gain 30 Mana and a Shield equal to 50% max Health."
DA_QuicksilverRadiant,Radiant Quicksilver,Radiant,"{""mr"": 40, ""crit_percent"": 40, ""as_percent"": 20}","Combat Start: Gain immunity to crowd control for 45 seconds. Gain 6% stacking Attack Speed every second."
DA_RabadonsDeathcap_Radiant,Radiant Rabadon's Deathcap,Radiant,"{""ap"": 110, ""damage_amp_percent"": 33}","It's witnessed - and unleashed - miracles and calamities both."
DA_RedBuffRadiant,Radiant Red Buff,Radiant,"{""as_percent"": 60, ""damage_amp_percent"": 10}","Attacks and Abilities 2% Burn and 33% Wound enemies for 5 seconds. Burn: Deals a percent of the target's max Health as true damage every second. Wound: Reduces healing received."
DA_SpearOfShojinRadiant,Radiant Spear of Shojin,Radiant,"{""ad"": 35, ""mana"": 20, ""ap"": 35}","Attacks grant 10 bonus Mana."
DA_SpiritVisage_Radiant,Radiant Spirit Visage,Radiant,"{""hp"": 400, ""mr"": 25}","Regenerate 4% of missing Health each second."
DA_SteadfastHeartRadiant,Radiant Steadfast Heart,Radiant,"{""armor"": 40, ""crit_percent"": 20, ""hp"": 450}","Gain 10% durability. While above 50% Health, instead gain 30% Durability."
DA_SteraksGageRadiant,Radiant Sterak's Gage,Radiant,"{""ad"": 30, ""hp"": 400}","At 60% Health, gain a Shield equal to 80% of the wearer's maximum Health that rapidly decays over 6 seconds."
DA_StrikersFlailRadiant,Radiant Striker's Flail,Radiant,"{""hp"": 400, ""crit_percent"": 20, ""as_percent"": 10}","Critical Strikes grant 10% Damage Amp for 5 seconds, stacking up to 4 times."
DA_SunfireCape_Radiant,Radiant Sunfire Cape,Radiant,"{""armor"": 40, ""hp"": 300}","Every 1.5 seconds, deal 2% Burn and 33% Wound to an enemy within 3 hexes for 30 seconds."
DA_ThiefsGlovesRadiant,Radiant Thief's Gloves,Radiant,"{""crit_percent"": 40, ""hp"": 300}","Each round: Equip 2 random Radiant items. [Consumes 3 item slots.]"
DA_TitansResolve_Radiant,Radiant Titan's Resolve,Radiant,"{""as_percent"": 30, ""armor"": 35}","Gain 3% Attack Damage and 3 Ability Power when attacking or taking damage, stacking up to 25 times. At full stacks, gain double defensive stats and immunity to crowd control."
DA_VoidStaffRadiant,Radiant Void Staff,Radiant,"{""ap"": 40, ""mana"": 15, ""as_percent"": 20}","Attacks and Ability damage 30% Shred the target for the rest of combat. This effect does not stack."
DA_WarmogsArmorRadiant,Radiant Warmog's Armor,Radiant,"{""hp"": 1600}","Gain 20% max health and regenerate 1% max Health per second."
DA_18_EmblemVanguard,Vanguard Emblem,Emblem,"{""hp"": 150, ""armor"": 20}","The holder gains the Vanguard trait. [Unique - Only One Per Champion]"
DA_18_EmblemBlackthorn,Blackthorn Emblem,Emblem,"{""hp"": 150}","The holder gains the Blackthorn trait. [Unique - Only One Per Champion]"
DA_18_EmblemHunter,Hunter Emblem,Emblem,"{""ad"": 10}","The holder gains the Hunter trait. [Unique - Only One Per Champion]"
DA_18_EmblemPrimal,Primal Emblem,Emblem,"{""crit_percent"": 20}","The holder gains the Primal trait. [Unique - Only One Per Champion]"
DA_18_EmblemSlayer,Slayer Emblem,Emblem,"{""hp"": 150}","The holder gains the Slayer trait. [Unique - Only One Per Champion]"
DA_18_EmblemDefender,Defender Emblem,Emblem,"{""armor"": 20}","The holder gains the Defender trait. [Unique - Only One Per Champion]"
DA_18_EmblemFloraFatalis,Flora Fatalis Emblem,Emblem,"{""hp"": 150}","The holder gains the Flora Fatalis trait. [Unique - Only One Per Champion]"
DA_18_EmblemFae,Fae Emblem,Emblem,"{""ad"": 10}","The holder gains the Fae trait. [Unique - Only One Per Champion]"
DA_18_EmblemSprykin,Sprykin Emblem,Emblem,"{""mr"": 20}","The holder gains the Sprykin trait. [Unique - Only One Per Champion]"
DA_18_EmblemInvoker,Invoker Emblem,Emblem,"{""mana"": 15}","The holder gains the Invoker trait. [Unique - Only One Per Champion]"
DA_18_EmblemBrawler,Brawler Emblem,Emblem,"{""hp"": 150}","The holder gains the Brawler trait. [Unique - Only One Per Champion]"
DA_18_EmblemExecutioner,Executioner Emblem,Emblem,"{""crit_percent"": 20}","The holder gains the Executioner trait. [Unique - Only One Per Champion]"
DA_18_EmblemLunar,Lunar Emblem,Emblem,"{""mana"": 15}","The holder gains the Lunar trait. [Unique - Only One Per Champion]"
DA_18_EmblemRapidfire,Rapidfire Emblem,Emblem,"{""as_percent"": 10}","The holder gains the Rapidfire trait. [Unique - Only One Per Champion]"
DA_18_EmblemElderwood,Elderwood Emblem,Emblem,"{""armor"": 20}","The holder gains the Elderwood trait. [Unique - Only One Per Champion]"
DA_18_EmblemSpellweaver,Spellweaver Emblem,Emblem,"{""ap"": 10}","The holder gains the Spellweaver trait. [Unique - Only One Per Champion]"
DA_18_EmblemFloraFatalisAugment,Flora Fatalis Emblem (Augment),Emblem,"{""hp"": 150}","Augment-granted Emblem. The holder gains the Flora Fatalis trait. [Unique - Only One Per Champion]"
DA_18_EmblemCoven,Coven Emblem,Emblem,"{""hp"": 150}","The holder gains the Coven trait. [Unique - Only One Per Champion]"
DA_18_EmblemBlossom,Blossom Emblem,Emblem,"{""ap"": 10}","The holder gains the Blossom trait. [Unique - Only One Per Champion]"
DA_18_EmblemInferno,Inferno Emblem,Emblem,"{""as_percent"": 10}","The holder gains the Inferno trait. [Unique - Only One Per Champion]"
DA_18_EmblemJuggernaut,Juggernaut Emblem,Emblem,"{""armor"": 20}","The holder gains the Juggernaut trait. [Unique - Only One Per Champion]"
DA_Component_BFSword,B.F. Sword,Component,"{""ad"": 10}","Grants Attack Damage."
DA_Component_ChainVest,Chain Vest,Component,"{""armor"": 20}","Grants Armor."
DA_Component_GiantsBelt,Giant's Belt,Component,"{""hp"": 150}","Grants Health."
DA_Component_NeedlesslyLargeRod,Needlessly Large Rod,Component,"{""ap"": 10}","Grants Ability Power."
DA_Component_NegatronCloak,Negatron Cloak,Component,"{""mr"": 20}","Grants Magic Resist."
DA_Component_RecurveBow,Recurve Bow,Component,"{""as_percent"": 10}","Grants Attack Speed."
DA_Component_SparringGloves,Sparring Gloves,Component,"{""crit_percent"": 20}","Grants Critical Strike Chance."
DA_Component_TearOfTheGoddess,Tear of the Goddess,Component,"{""mana"": 15}","Grants Mana."
DA_Component_Spatula,Spatula,Component,"{}","It must do something..."
DA_Component_FryingPan,Frying Pan,Component,"{}","Used to craft new emblems and Tactician items."
DA_Consumable_ChampionDuplicator,Champion Duplicator,Consumable,"{}","Use on a champion to create a 1-star copy of them."
DA_Consumable_LesserChampionDuplicator,Lesser Champion Duplicator,Consumable,"{}","Use on a champion of tier 3 or lower to create a 1-star copy of them."
DA_Consumable_ItemRemover,Item Remover,Consumable,"{}","Use on a champion to unequip all items."
DA_Consumable_GoldenItemRemover,Golden Item Remover,Consumable,"{}","Reusable item remover: Unequips all items from target champion without being consumed."
DA_Reforger,Reforger,Consumable,"{}","Use on a champion to unequip all items and transform them into random items of similar tier."
DA_MasterworkUpgrade,Masterwork Upgrade,Consumable,"{}","Use on a champion to upgrade one of their equipped craftable items into its Radiant version."
DA_LuckyItemChest,Lucky Item Chest,Consumable,"{}","Open to choose 1 of several completed items."
DA_RadiantLuckyItemChest,Radiant Lucky Item Chest,Consumable,"{}","Open to choose 1 of several Radiant items."
